lag,autocorrelation
0,1.0
1,0.1781854316350636
2,0.1504980661848988
3,0.1076213582818939
4,0.1170839232592675
5,0.0779928034973387
6,0.0858438934102398
7,0.0896771020332541
8,0.0871765429201314
9,0.0723756497992222
10,0.0707796714230815
11,0.0658437664315667
12,0.0669711027080419
13,0.0733264099682505
14,0.0645398664390324
15,0.0581642075704059
16,0.0603211022068228
17,0.0644962029553739
18,0.0592014225125234
19,0.0699693023774941
20,0.0629027754702696
21,0.0604810179083358
22,0.0654265057669602
23,0.0607319148578251
24,0.0614504090011653
25,0.0629473113282627
26,0.0449137027173371
27,0.0575016140823604
28,0.0474198209526114
29,0.0551344480879266
30,0.0428325318373142
31,0.0419017369377712
32,0.0489291589641164
33,0.0517336674131268
34,0.0392932903442711
35,0.0332551633480929
36,0.0538748211993565
37,0.0479741487087779
38,0.052244167933726
39,0.0449247315925447
40,0.0519732472964232
41,0.0408943110059758
42,0.0552807088540909
43,0.0492632278961312
44,0.03661365787696
45,0.0496346016969251
46,0.0460892124362138
47,0.0429645528521368
48,0.0497804216114417
49,0.0419168065770919
50,0.0359320427981077
