label,value,cdf
iperf,0.0174249999999993,0.0
iperf,0.0360520000000015,0.003952569169960474
iperf,0.0363590000000009,0.007905138339920948
iperf,0.040927,0.011857707509881422
iperf,0.0413809999999994,0.015810276679841896
iperf,0.0434079999999994,0.019762845849802372
iperf,0.0437480000000007,0.023715415019762844
iperf,0.0438110000000051,0.02766798418972332
iperf,0.0440490000000011,0.03162055335968379
iperf,0.0441180000000001,0.03557312252964427
iperf,0.0447039999999994,0.039525691699604744
iperf,0.0449340000000013,0.043478260869565216
iperf,0.045856999999998,0.04743083003952569
iperf,0.048483,0.05138339920948617
iperf,0.0545839999999984,0.05533596837944664
iperf,0.0546729999999993,0.05928853754940711
iperf,0.0548040000000042,0.06324110671936758
iperf,0.0681259999999994,0.06719367588932806
iperf,0.0726789999999999,0.07114624505928854
iperf,0.0901779999999998,0.07509881422924901
iperf,0.0903910000000003,0.07905138339920949
iperf,0.090555,0.08300395256916997
iperf,0.0983520000000002,0.08695652173913043
iperf,0.1076709999999998,0.09090909090909091
iperf,0.1081500000000001,0.09486166007905138
iperf,0.1101499999999999,0.09881422924901186
iperf,0.1155429999999988,0.10276679841897234
iperf,0.115558,0.1067193675889328
iperf,0.1155829999999973,0.11067193675889328
iperf,0.1156220000000001,0.11462450592885376
iperf,0.115631,0.11857707509881422
iperf,0.1156319999999979,0.1225296442687747
iperf,0.1156319999999997,0.12648221343873517
iperf,0.1156369999999995,0.13043478260869565
iperf,0.1156379999999988,0.13438735177865613
iperf,0.1156380000000005,0.1383399209486166
iperf,0.1156380000000005,0.1422924901185771
iperf,0.115639999999999,0.14624505928853754
iperf,0.1156499999999987,0.15019762845849802
iperf,0.115653,0.1541501976284585
iperf,0.1156810000000021,0.15810276679841898
iperf,0.1157019999999997,0.16205533596837945
iperf,0.1157129999999995,0.16600790513833993
iperf,0.1157409999999998,0.16996047430830039
iperf,0.1157439999999994,0.17391304347826086
iperf,0.1157449999999999,0.17786561264822134
iperf,0.1157460000000014,0.18181818181818182
iperf,0.1157479999999999,0.1857707509881423
iperf,0.1157510000000003,0.18972332015810275
iperf,0.1157660000000007,0.19367588932806323
iperf,0.1157699999999977,0.1976284584980237
iperf,0.1157699999999994,0.2015810276679842
iperf,0.1157700000000003,0.20553359683794467
iperf,0.1157700000000012,0.20948616600790515
iperf,0.1157760000000003,0.2134387351778656
iperf,0.1157770000000013,0.21739130434782608
iperf,0.1157779999999988,0.22134387351778656
iperf,0.1157780000000023,0.22529644268774704
iperf,0.1157799999999991,0.22924901185770752
iperf,0.1157839999999996,0.233201581027668
iperf,0.1157840000000014,0.23715415019762845
iperf,0.1157849999999989,0.24110671936758893
iperf,0.1157849999999998,0.2450592885375494
iperf,0.1157849999999998,0.2490118577075099
iperf,0.1157869999999992,0.25296442687747034
iperf,0.115787,0.25691699604743085
iperf,0.115787,0.2608695652173913
iperf,0.1157870000000009,0.2648221343873518
iperf,0.1157889999999994,0.26877470355731226
iperf,0.1157900000000005,0.2727272727272727
iperf,0.1157910000000015,0.2766798418972332
iperf,0.1157940000000001,0.28063241106719367
iperf,0.1157950000000003,0.2845849802371542
iperf,0.1157999999999965,0.2885375494071146
iperf,0.1158000000000001,0.2924901185770751
iperf,0.1158009999999976,0.2964426877470356
iperf,0.1158040000000006,0.30039525691699603
iperf,0.1158049999999981,0.30434782608695654
iperf,0.1158050000000017,0.308300395256917
iperf,0.1158059999999991,0.31225296442687744
iperf,0.115806,0.31620553359683795
iperf,0.115806,0.3201581027667984
iperf,0.1158070000000002,0.3241106719367589
iperf,0.1158089999999987,0.32806324110671936
iperf,0.1158090000000005,0.33201581027667987
iperf,0.1158110000000007,0.3359683794466403
iperf,0.1158110000000007,0.33992094861660077
iperf,0.1158130000000028,0.3438735177865613
iperf,0.1158140000000003,0.34782608695652173
iperf,0.1158160000000023,0.35177865612648224
iperf,0.1158190000000001,0.3557312252964427
iperf,0.115824,0.35968379446640314
iperf,0.1158250000000009,0.36363636363636365
iperf,0.1158269999999994,0.3675889328063241
iperf,0.1158269999999994,0.3715415019762846
iperf,0.1158289999999997,0.37549407114624506
iperf,0.1158299999999989,0.3794466403162055
iperf,0.1158300000000025,0.383399209486166
iperf,0.115831,0.38735177865612647
iperf,0.115831,0.391304347826087
iperf,0.1158329999999998,0.3952569169960474
iperf,0.1158329999999998,0.39920948616600793
iperf,0.115833000000002,0.4031620553359684
iperf,0.1158339999999995,0.40711462450592883
iperf,0.1158340000000031,0.41106719367588934
iperf,0.115835,0.4150197628458498
iperf,0.115836999999999,0.4189723320158103
