lag,autocorrelation
0,1.0
1,0.002297842987727
2,-0.0257135424154902
3,-0.0388023635086678
4,-0.0056358527404785
5,0.0312042187024775
6,0.0148385446818878
7,-0.0405247589719566
8,-0.0182126139974878
9,0.0013420935084943
10,0.012833661766215
11,-0.0091319616835683
12,-0.0003136714569454
13,-0.0121442014739015
14,-0.0037391090663201
15,-0.0080530297574992
16,-0.0101300277171449
17,-0.0117490870126552
18,0.0099447361527718
19,0.0008460375800543
20,-0.0068486358966005
21,-0.0127573900994192
22,-0.0153456553720591
23,0.0174246209921551
24,0.0080029162191926
25,-0.0117550443795759
26,-0.0093628715740401
27,-0.0132922401412676
28,0.0153163894082243
29,-0.0108444618585134
30,0.0044408964288616
31,-0.008676978598848
32,-0.0098062397173403
33,0.0105868723719856
34,-0.0106114215085434
35,-0.0064171185198607
36,-0.0016834975058288
37,0.0165784150226993
38,-0.0125264207409634
39,-0.0122215439901081
40,-0.0114089707453591
41,-0.0126769494681246
42,0.0270953234485128
43,-0.0073769565842006
44,-0.0166663423507876
45,-0.0121341471580474
46,-0.0130089460730168
47,0.0224742925362039
48,-0.005224600188998
49,0.0086116393996279
50,-0.0128117842516838
