burst_size
9
32
10
6
6
6
6
6
6
6
6
5
6
5
5
5
5
5
5
5
5
4
5
5
4
5
4
5
5
5
5
5
4
5
6
5
6
5
4
4
6
4
4
5
5
5
5
5
6
1
6
6
6
5
5
5
6
5
4
4
4
4
5
5
5
5
6
4
1
5
6
1
4
5
4
4
5
5
4
4
4
4
6
4
9
1
1
1
9
9
55
14
6
6
6
6
7
6
6
6
6
6
6
5
6
5
4
4
6
4
6
5
5
4
5
5
4
6
5
5
5
6
6
5
5
6
4
5
6
5
6
6
5
5
5
5
4
4
5
4
4
5
5
4
4
4
4
5
4
6
6
6
6
5
5
4
5
5
5
4
4
5
5
5
4
5
5
4
6
4
9
8
9
32
12
6
6
6
6
6
6
6
6
6
6
6
6
5
6
4
5
5
6
6
6
6
6
6
6
6
6
5
5
5
5
5
5
6
6
6
6
6
6
6
4
6
5
6
5
5
5
5
4
5
5
6
5
5
4
5
6
5
5
5
5
4
4
5
5
4
4
5
5
6
5
5
5
4
4
4
6
6
4
8
