lag,autocorrelation
0,1.0
1,0.17818543163506365
2,0.15049806618489886
3,0.10762135828189398
4,0.11708392325926759
5,0.07799280349733878
6,0.08584389341023987
7,0.08967710203325417
8,0.08717654292013141
9,0.07237564979922223
10,0.07077967142308156
11,0.06584376643156678
12,0.06697110270804199
13,0.0733264099682505
14,0.06453986643903245
15,0.058164207570405926
16,0.060321102206822824
17,0.06449620295537391
18,0.05920142251252348
19,0.06996930237749416
20,0.06290277547026969
21,0.0604810179083358
22,0.06542650576696024
23,0.06073191485782517
24,0.06145040900116531
25,0.06294731132826273
26,0.0449137027173371
27,0.05750161408236048
28,0.04741982095261148
29,0.055134448087926655
30,0.042832531837314225
31,0.04190173693777128
32,0.048929158964116454
33,0.051733667413126835
34,0.039293290344271196
35,0.0332551633480929
36,0.05387482119935652
37,0.04797414870877791
38,0.05224416793372609
39,0.04492473159254478
40,0.05197324729642327
41,0.04089431100597586
42,0.055280708854090935
43,0.0492632278961312
44,0.03661365787696
45,0.04963460169692518
46,0.046089212436213806
47,0.04296455285213682
48,0.049780421611441764
49,0.041916806577091965
50,0.035932042798107765
