scale,log2_energy,energy_abs
0,38.507218328502404,390685925911.2196
1,32.55215313564466,6297591950.069748
2,34.9680370533286,33606868182.84665
3,39.21606075903104,638573071165.1833
4,39.824086915814576,973295491385.2842
5,40.79790470253588,1911582630642.2002
