scale,log2_energy,energy_abs
0,19.49051297117028,736595.4556638978
1,14.205683284148828,18894.559762053235
2,14.696275659926307,26547.26580248343
3,14.52965319447441,23651.649700462043
4,15.292467185517928,40132.04869626768
5,16.045204298185553,67621.96401989425
