block_size,log10_block_size,log10_variance,hurst_estimate,line_-1
10,1.0,9.554896084742325,2.721979862936315,6.762231063164257
12,1.0791812460476249,9.507825355462408,2.721979862936315,6.683049817116632
14,1.146128035678238,9.773109719397993,2.721979862936315,6.616103027486019
17,1.2304489213782739,9.948341345542765,2.721979862936315,6.531782141785983
20,1.3010299956639813,10.004105306776621,2.721979862936315,6.461201067500276
25,1.3979400086720377,10.123041392994661,2.721979862936315,6.364291054492219
30,1.4771212547196624,10.300976813043725,2.721979862936315,6.285109808444594
36,1.5563025007672873,10.399289248162516,2.721979862936315,6.20592856239697
43,1.6334684555795866,10.555560613875702,2.721979862936315,6.128762607584671
52,1.7160033436347992,10.691399776325806,2.721979862936315,6.046227719529457
63,1.7993405494535817,10.847137330009751,2.721979862936315,5.962890513710676
75,1.8750612633917,11.013448482780927,2.721979862936315,5.887169799772557
91,1.9590413923210936,11.169963222486926,2.721979862936315,5.803189670843163
109,2.037426497940624,11.292131404008694,2.721979862936315,5.724804565223633
132,2.12057393120585,11.43327810603569,2.721979862936315,5.641657131958407
158,2.1986570869544226,11.580202784034825,2.721979862936315,5.563573976209835
190,2.278753600952829,11.663102464490189,2.721979862936315,5.483477462211428
229,2.359835482339888,11.848781522317344,2.721979862936315,5.402395580824368
276,2.4409090820652177,11.979049171500085,2.721979862936315,5.3213219810990395
331,2.519827993775719,12.047054970098337,2.721979862936315,5.242403069388538
