log10_frequency,log10_power,aggregation_level,hurst_estimate
-3.5212688755983854,9.816244734591951,1,0.4331126395033913
-3.220238879934404,10.026134152480399,1,0.4331126395033913
-3.044147620878723,10.272755850846677,1,0.4331126395033913
-2.919208884270423,8.902711979700813,1,0.4331126395033913
-2.8222988712623662,9.841650834306517,1,0.4331126395033913
-2.7431176252147416,9.714088586397967,1,0.4331126395033913
-2.6761708355841285,8.715223619160694,1,0.4331126395033913
-2.6181788886064417,9.17817866080994,1,0.4331126395033913
-2.56702636615906,9.041718812738774,1,0.4331126395033913
-2.5212688755983854,9.292358695893686,1,0.4331126395033913
-2.47987619044016,5.607655132528864,1,0.4331126395033913
-2.4420876295507603,9.122706086401207,1,0.4331126395033913
-2.4073255232915485,9.01609406151985,1,0.4331126395033913
-2.3751408399201472,8.183962388093368,1,0.4331126395033913
-2.345177616542704,8.419150696873878,1,0.4331126395033913
-2.3171488929424604,7.775433533476155,1,0.4331126395033913
-2.2908199542201113,6.768357813283753,1,0.4331126395033913
-2.265996370495079,8.2245689092718,1,0.4331126395033913
-2.242515274645556,7.5515654889591035,1,0.4331126395033913
-2.220238879934404,8.305345138556346,1,0.4331126395033913
-2.199049580864466,8.790423443064146,1,0.4331126395033913
-2.1788461947761792,5.835493064246816,1,0.4331126395033913
-2.1595410395807924,8.420424778492132,1,0.4331126395033913
-2.141057633886779,8.423031816080112,1,0.4331126395033913
-2.1233288669263475,8.28661614478565,1,0.4331126395033913
-2.106295527627567,7.58418676351051,1,0.4331126395033913
-2.089905111439398,8.175258483012021,1,0.4331126395033913
-2.074110844256166,8.604762519847192,1,0.4331126395033913
-2.0588708776994293,7.222276270775509,1,0.4331126395033913
-2.044147620878723,8.196779350617641,1,0.4331126395033913
-2.0299071817641123,8.192233986971223,1,0.4331126395033913
-2.016118897278479,7.471751827052747,1,0.4331126395033913
-2.002754935720498,6.064242928197595,1,0.4331126395033913
-1.98978995855613,6.746560570516862,1,0.4331126395033913
-1.9772008312481095,7.115927961348215,1,0.4331126395033913
-1.964966374831098,8.213239121627478,1,0.4331126395033913
-1.9530671515313902,6.83623745649498,1,0.4331126395033913
-1.941485278981575,7.847517632543106,1,0.4331126395033913
-1.930204268571886,8.335009724045591,1,0.4331126395033913
-1.919208884270423,7.223616061532601,1,0.4331126395033913
-1.9084850188786497,7.799535584354996,1,0.4331126395033913
-1.8980195852004849,7.792756841061226,1,0.4331126395033913
-1.8878004200187988,8.229267389568472,1,0.4331126395033913
-1.8778161991121978,5.8581500511627285,1,0.4331126395033913
-1.8680563618230415,7.89387287926442,1,0.4331126395033913
-1.858511043916811,8.24862911301386,1,0.4331126395033913
-1.849171017662668,7.328103553825001,1,0.4331126395033913
-1.840027638222798,7.454943955781805,1,0.4331126395033913
-1.8310727955698716,7.584059182259726,1,0.4331126395033913
-1.8222988712623664,7.012246497011417,1,0.4331126395033913
-1.813698699500449,7.528727796989392,1,0.4331126395033913
-1.805265531963586,5.955838046864748,1,0.4331126395033913
-1.7969930059975963,7.134054561183205,1,0.4331126395033913
-1.7888751157754168,8.197723459610515,1,0.4331126395033913
-1.7809061861041413,6.526514940129336,1,0.4331126395033913
-1.7730808485921847,7.418028874625154,1,0.4331126395033913
-1.7653940199258937,7.989284203311161,1,0.4331126395033913
-1.757840882035448,7.837569962182901,1,0.4331126395033913
-1.750416863956241,6.9848092446228796,1,0.4331126395033913
-1.7431176252147416,7.398968970316636,1,0.4331126395033913
-1.7359390405876183,8.203074760338984,1,0.4331126395033913
-1.7288771861001313,6.823751324649316,1,0.4331126395033913
-1.7219283261448035,7.40550858133163,1,0.4331126395033913
-1.7150889016144981,8.029375960177598,1,0.4331126395033913
-1.7083555189555297,7.053783479312849,1,0.4331126395033913
-1.7017249400565166,6.575949909754782,1,0.4331126395033913
-1.6951940728975587,7.1942826755834215,1,0.4331126395033913
-1.6887599628921488,6.9030577639092625,1,0.4331126395033913
-1.68241978486113,7.8767470504735755,1,0.4331126395033913
-1.6761708355841285,5.873651772924994,1,0.4331126395033913
-1.67001052687931,7.201269375940244,1,0.4331126395033913
-1.6639363791671167,8.054088896895655,1,0.4331126395033913
-1.6579460154779293,6.807237868432459,1,0.4331126395033913
-1.652037155867409,7.115112599495607,1,0.4331126395033913
-1.646207612206685,7.686983751351414,1,0.4331126395033913
-1.6404552833175938,8.003406417615954,1,0.4331126395033913
-1.6347781504259034,5.3834681174740115,1,0.4331126395033913
-1.6291742729079048,7.298372131268042,1,0.4331126395033913
-1.6236417843079438,8.179769826878,1,0.4331126395033913
-1.6181788886064417,7.078663530598221,1,0.4331126395033913
-1.6127838567197355,7.201854914182887,1,0.4331126395033913
-1.6074550232146685,7.73203060501471,1,0.4331126395033913
-1.6021907832223112,7.184159541796705,1,0.4331126395033913
-1.5969895895365036,7.316735071395691,1,0.4331126395033913
-1.5918499498840926,6.6101127350313025,1,0.4331126395033913
-1.5867704243548175,7.429082983395009,1,0.4331126395033913
-1.5817496229797667,8.18859783708827,1,0.4331126395033913
-1.5767862034482167,6.291521323835029,1,0.4331126395033913
-1.5718788689534724,7.243356902663754,1,0.4331126395033913
-1.5670263661590604,7.942059245112725,1,0.4331126395033913
-1.5622274832772916,7.515737416494689,1,0.4331126395033913
-1.55748104825283,6.4142298740755725,1,0.4331126395033913
-1.5527859270444502,7.262525278727862,1,0.4331126395033913
-1.5481410219986866,8.135904346876147,1,0.4331126395033913
-1.5435452703095374,7.021371639865943,1,0.4331126395033913
-1.5389976425588168,6.8751213013746195,1,0.4331126395033913
-1.5344971413321404,8.442388273137494,1,0.4331126395033913
-1.5300427999058903,7.28959520309902,1,0.4331126395033913
-1.5256336810008353,6.365386555363484,1,0.4331126395033913
-1.5212688755983852,8.430636444313532,1,0.4331126395033913
-1.5169475018157426,6.69564385639119,1,0.4331126395033913
-1.5126687038364677,7.458592876400156,1,0.4331126395033913
-1.508431650893213,5.854592299549981,1,0.4331126395033913
-1.504235536299605,5.889147538540127,1,0.4331126395033913
-1.5000795765284471,7.769427618382452,1,0.4331126395033913
-1.495963010333615,7.314557985613263,1,0.4331126395033913
-1.4918850979131757,6.636538865701174,1,0.4331126395033913
-1.4878451201114355,7.333966125588115,1,0.4331126395033913
-1.4838423776577616,7.710196144492669,1,0.4331126395033913
-1.4798761904401603,6.129181906502259,1,0.4331126395033913
-1.4759458968117278,6.988060212822927,1,0.4331126395033913
-1.4720508529282037,7.852579473121736,1,0.4331126395033913
-1.4681904321149655,6.902105949507694,1,0.4331126395033913
-1.4643640242619127,6.805892810504282,1,0.4331126395033913
-1.4605710352447736,7.6666792817001905,1,0.4331126395033913
-1.4568108863714668,6.919195551299002,1,0.4331126395033913
-1.4530830138522237,7.506213037210462,1,0.4331126395033913
-1.44938686829226,6.481890145953587,1,0.4331126395033913
-1.4457219142058544,7.097308028772032,1,0.4331126395033913
-1.4420876295507605,7.748409030502652,1,0.4331126395033913
-1.4384835052819351,5.769394313439199,1,0.4331126395033913
-1.434909044923637,6.663209365817131,1,0.4331126395033913
-1.4313637641589874,7.821635701599573,1,0.4331126395033913
-1.4278471904361503,7.4240321918497765,1,0.4331126395033913
-1.4243588625903287,5.953943347017027,1,0.4331126395033913
-1.4208983304808225,7.097383440434069,1,0.4331126395033913
-1.4174651546424284,8.075945652686926,1,0.4331126395033913
-1.4140589059505169,6.90315728300679,1,0.4331126395033913
-1.4106791652991364,6.135198606439137,1,0.4331126395033913
-1.4073255232915485,7.927057305195147,1,0.4331126395033913
-1.403997579942621,6.6775950196800755,1,0.4331126395033913
-1.4006949443925354,6.813910097147373,1,0.4331126395033913
-1.3974172346312994,7.148863295795506,1,0.4331126395033913
-1.3941640772335777,7.274044347683244,1,0.4331126395033913
-1.390935107103379,7.742338782203159,1,0.4331126395033913
-1.3877299672281678,6.176618637894811,1,0.4331126395033913
-1.3845483084419785,6.879503290445762,1,0.4331126395033913
-1.3813897891971487,8.008436185530366,1,0.4331126395033913
-1.3782540753442902,7.264762559587878,1,0.4331126395033913
-1.3751408399201472,4.339879349375403,1,0.4331126395033913
-1.3720497629430053,7.070043256202006,1,0.4331126395033913
-1.3689805312153287,7.435205842127637,1,0.4331126395033913
-1.3659328381333233,5.843057657954099,1,0.4331126395033913
-1.3629063835031356,6.709674436845212,1,0.4331126395033913
-1.3599008733634104,7.931725605397903,1,0.4331126395033913
-1.356916019813948,6.445757015818041,1,0.4331126395033913
-1.3539515408502092,6.243752399827501,1,0.4331126395033913
-1.351007160203428,7.317998419152476,1,0.4331126395033913
-1.3480826071861112,6.995653155085067,1,0.4331126395033913
-1.345177616542704,7.1636667596621875,1,0.4331126395033913
-1.3422919283052157,6.9038770702730945,1,0.4331126395033913
-1.3394252876536128,7.010021638370724,1,0.4331126395033913
-1.3365774447807865,7.793247441383526,1,0.4331126395033913
-1.333748154761922,6.76624421248246,1,0.4331126395033913
-1.3309371774280938,6.763289003604265,1,0.4331126395033913
-1.3281442772439236,7.972134053768243,1,0.4331126395033913
-1.3253692231891514,7.3079683967434494,1,0.4331126395033913
-1.3226117886439626,6.856280758691533,1,0.4331126395033913
-1.3198717512779337,7.172621475455308,1,0.4331126395033913
-1.3171488929424604,7.997580484699675,1,0.4331126395033913
-1.3144429995665354,6.20799865329283,1,0.4331126395033913
-1.3117538610557542,6.35384623133718,1,0.4331126395033913
-1.3090812711944275,7.804217757877921,1,0.4331126395033913
-1.3064250275506872,6.890627495593403,1,0.4331126395033913
-1.303784931384479,6.737343619889618,1,0.4331126395033913
-1.3011607875583302,7.22909983300126,1,0.4331126395033913
-1.298552404450802,7.443311669932498,1,0.4331126395033913
-1.2959595938725224,7.618477413737162,1,0.4331126395033913
-1.2933821709847118,6.467303231009394,1,0.4331126395033913
-1.2908199542201113,6.853761729822436,1,0.4331126395033913
-1.2882727652062314,7.8516587742699935,1,0.4331126395033913
-1.2857404286908363,7.928033834391204,1,0.4331126395033913
-1.28322277246959,6.749418274489358,1,0.4331126395033913
-1.2807196273157855,7.532984118888148,1,0.4331126395033913
-1.2782308269120908,7.636833428875275,1,0.4331126395033913
-1.2757562077842355,7.003367668550467,1,0.4331126395033913
-1.2732956092365786,5.8867396864250505,1,0.4331126395033913
-1.2708488732894914,7.903125478529103,1,0.4331126395033913
-1.268415844618492,7.265414303934192,1,0.4331126395033913
-1.2659963704950792,7.901529695440049,1,0.4331126395033913
-1.2635903007292006,7.320173591471102,1,0.4331126395033913
-1.2611974876133105,7.164487723169717,1,0.4331126395033913
-1.2588177858679557,8.46387701540222,1,0.4331126395033913
-1.2564510525888488,6.5935764757549515,1,0.4331126395033913
-1.2540971471953715,7.823646527522183,1,0.4331126395033913
-1.251755931380469,9.107918661185012,1,0.4331126395033913
-1.2494272690618862,8.133345392901541,1,0.4331126395033913
-1.2471110263347054,7.740945002445734,1,0.4331126395033913
-1.2448070714251411,7.8782937872903815,1,0.4331126395033913
-1.2425152746455563,6.443644862187772,1,0.4331126395033913
-1.2402355083506578,7.436673158835404,1,0.4331126395033913
-1.2379676468948355,7.002976972832326,1,0.4331126395033913
-1.2357115665906115,7.753653251518559,1,0.4331126395033913
-1.2334671456681592,6.770185115837323,1,0.4331126395033913
-1.2312342642358673,6.909581978070876,1,0.4331126395033913
-1.229012804241909,7.748767544274711,1,0.4331126395033913
-1.2268026494367923,8.014954630313136,1,0.4331126395033913
-1.224603685336854,7.048731289165093,1,0.4331126395033913
-1.2224157991886786,7.277837935686469,1,0.4331126395033913
-1.220238879934404,8.23686435962861,1,0.4331126395033913
-1.2180728181778964,7.593011818388639,1,0.4331126395033913
-1.2159175061517615,6.716885159218805,1,0.4331126395033913
-1.2137728376851724,6.499002183291245,1,0.4331126395033913
-1.2116387081724864,7.892211900816421,1,0.4331126395033913
-1.209515014542631,7.161401239329886,1,0.4331126395033913
-1.207401655229232,6.878128968483734,1,0.4331126395033913
-1.2052985301414676,7.470077032096579,1,0.4331126395033913
-1.2032055406356237,6.9726446271552796,1,0.4331126395033913
-1.2011225894873312,7.400027961544883,1,0.4331126395033913
-1.199049580864466,6.008867322850923,1,0.4331126395033913
-1.1969864203006926,7.038863335293407,1,0.4331126395033913
-1.1949330146696338,7.460768396195585,1,0.4331126395033913
-1.1928892721596474,7.100720052436445,1,0.4331126395033913
-1.1908551022491944,7.5688011793744066,1,0.4331126395033913
-1.1888304156827798,5.866698895753877,1,0.4331126395033913
-1.1868151244474543,6.881176783344797,1,0.4331126395033913
-1.1848091417498559,7.317176032899554,1,0.4331126395033913
-1.1828123819937804,6.190141089648843,1,0.4331126395033913
-1.180824760758267,7.589858942102706,1,0.4331126395033913
-1.178846194776179,7.552730898828286,1,0.4331126395033913
-1.1768766019132746,7.489531443573225,1,0.4331126395033913
-1.1749159011477466,7.669457585213482,1,0.4331126395033913
-1.1729640125502245,6.525066898167168,1,0.4331126395033913
-1.1710208572642224,7.4791299166528855,1,0.4331126395033913
-1.1690863574870227,7.721825553280211,1,0.4331126395033913
-1.1671604364509842,7.623913741118619,1,0.4331126395033913
-1.1652430184052625,7.389225029325557,1,0.4331126395033913
-1.1633340285979314,5.917115092394032,1,0.4331126395033913
-1.1614333932584973,7.580601994625508,1,0.4331126395033913
-1.1595410395807924,5.849978607555211,1,0.4331126395033913
-1.157656895706241,7.39220316582151,1,0.4331126395033913
-1.1557808907074856,7.5913203931119,1,0.4331126395033913
-1.1539129545723663,6.123314240730454,1,0.4331126395033913
-1.1520530181882425,7.544089433417633,1,0.4331126395033913
-1.150201013326649,7.5317458709591865,1,0.4331126395033913
-1.1483568726282787,7.043443520202199,1,0.4331126395033913
-1.1465205295882814,7.199908431291145,1,0.4331126395033913
-1.1446919185418734,6.839039000455462,1,0.4331126395033913
-1.1428709746502475,7.180181081410496,1,0.4331126395033913
-1.1410576338867793,7.6867619766485875,1,0.4331126395033913
-1.1392518330235168,7.4727231636947655,1,0.4331126395033913
-1.1374535096179539,7.905276003735037,1,0.4331126395033913
-1.135662602000073,7.536734911738921,1,0.4331126395033913
-1.1338790492596558,6.987281292154275,1,0.4331126395033913
-1.1321027912338528,7.996009255709071,1,0.4331126395033913
-1.130333768495006,7.631912487838536,1,0.4331126395033913
-1.1285719223387196,8.203367850269517,1,0.4331126395033913
-1.126817194772169,7.117164141159585,1,0.4331126395033913
-1.1250695285026489,6.869813865178107,1,0.4331126395033913
-1.1233288669263477,8.493678722876684,1,0.4331126395033913
-1.121595154117347,7.348352203165917,1,0.4331126395033913
-1.1198683348168412,6.783788931254546,1,0.4331126395033913
-1.1181483544225674,8.41061836994745,1,0.4331126395033913
-1.1164351589784471,8.037646807365778,1,0.4331126395033913
-1.1147286951644302,7.844915916252409,1,0.4331126395033913
-1.1130289102865356,6.855260584058248,1,0.4331126395033913
-1.1113357522670906,8.422601391718736,1,0.4331126395033913
-1.1096491696351551,8.293577436954305,1,0.4331126395033913
-1.1079691115171335,7.6165892888777265,1,0.4331126395033913
-1.1062955276275672,8.045076011376624,1,0.4331126395033913
-1.1046283682601044,8.277177929927069,1,0.4331126395033913
-1.1029675842786397,8.346724380364096,1,0.4331126395033913
-1.1013131271086274,6.898982683003384,1,0.4331126395033913
-1.0996649487285541,7.5000422447029855,1,0.4331126395033913
-1.0980230016615775,9.07062970113402,1,0.4331126395033913
-1.0963872389673182,7.50865802765533,1,0.4331126395033913
-1.09475761423381,7.686428920358497,1,0.4331126395033913
-1.0931340815695965,9.169472915818506,1,0.4331126395033913
-1.0915165955959771,8.583337806441843,1,0.4331126395033913
-1.089905111439398,7.7163040658944215,1,0.4331126395033913
-1.0882995847239796,8.689948748722287,1,0.4331126395033913
-1.0866999715641865,8.799672314448404,1,0.4331126395033913
-1.0851062285576292,8.986042310703702,1,0.4331126395033913
-1.0835183127779973,7.40092957122128,1,0.4331126395033913
-1.0819361817681226,9.252380990524085,1,0.4331126395033913
-1.0803597935331675,9.405041747820077,1,0.4331126395033913
-1.0787891065339368,8.931424934433702,1,0.4331126395033913
-1.077224079680309,8.582648476773238,1,0.4331126395033913
-1.0756646723247878,9.377361689141585,1,0.4331126395033913
-1.074110844256166,10.208876463977733,1,0.4331126395033913
-1.0725625556933054,8.223443978768715,1,0.4331126395033913
-1.071019767279024,8.230690104526694,1,0.4331126395033913
-1.069482440074095,11.225420365381385,1,0.4331126395033913
