block_size,log10_block_size,log10_variance,hurst_estimate,line_-1
10,1.0,9.700826504924136,2.592953726091726,7.09748175392949
11,1.041392685158225,9.742689635138778,2.592953726091726,7.056089068771264
12,1.0791812460476249,9.867820104864892,2.592953726091726,7.0183005078818645
14,1.146128035678238,9.908704752280762,2.592953726091726,6.9513537182512515
16,1.2041199826559248,10.02612118474434,2.592953726091726,6.893361771273565
18,1.255272505103306,10.0937968098493,2.592953726091726,6.842209248826183
20,1.3010299956639813,10.107457977779225,2.592953726091726,6.796451758265508
23,1.3617278360175928,10.268385506250546,2.592953726091726,6.735753917911897
26,1.414973347970818,10.340611058858277,2.592953726091726,6.6825084059586715
29,1.462397997898956,10.40219034445998,2.592953726091726,6.635083756030534
33,1.5185139398778875,10.537508959416408,2.592953726091726,6.578967814051602
37,1.568201724066995,10.60856223850166,2.592953726091726,6.529280029862495
42,1.6232492903979006,10.736335469626194,2.592953726091726,6.474232463531589
48,1.6812412373755872,10.76254232804239,2.592953726091726,6.416240516553902
54,1.7323937598229686,10.890792343111832,2.592953726091726,6.365087994106521
61,1.7853298350107671,10.922002622427868,2.592953726091726,6.3121519189187225
69,1.8388490907372552,10.961353356247741,2.592953726091726,6.258632663192234
78,1.8920946026904804,11.098179567335382,2.592953726091726,6.205387151239009
88,1.9444826721501687,11.190671107929258,2.592953726091726,6.1529990817793205
100,2.0,11.333675500239208,2.592953726091726,6.09748175392949
