lag,autocorrelation
0,1.0
1,0.002297842987727073
2,-0.025713542415490287
3,-0.03880236350866783
4,-0.005635852740478563
5,0.031204218702477523
6,0.014838544681887838
7,-0.04052475897195661
8,-0.018212613997487897
9,0.0013420935084943015
10,0.012833661766215074
11,-0.009131961683568394
12,-0.00031367145694546905
13,-0.012144201473901535
14,-0.003739109066320123
15,-0.008053029757499214
16,-0.010130027717144949
17,-0.01174908701265524
18,0.009944736152771869
19,0.0008460375800543852
20,-0.006848635896600595
21,-0.012757390099419267
22,-0.01534565537205918
23,0.017424620992155148
24,0.008002916219192678
25,-0.011755044379575955
26,-0.009362871574040178
27,-0.013292240141267637
28,0.015316389408224376
29,-0.010844461858513439
30,0.004440896428861679
31,-0.00867697859884803
32,-0.0098062397173403
33,0.010586872371985698
34,-0.01061142150854344
35,-0.006417118519860786
36,-0.0016834975058288286
37,0.016578415022699355
38,-0.012526420740963466
39,-0.012221543990108153
40,-0.011408970745359173
41,-0.01267694946812469
42,0.027095323448512818
43,-0.007376956584200648
44,-0.0166663423507876
45,-0.01213414715804744
46,-0.01300894607301684
47,0.022474292536203908
48,-0.005224600188998077
49,0.008611639399627913
50,-0.012811784251683805
