icmp_seq,ttl,rtt_ms
1,64,0.791
2,64,0.084
3,64,0.054
4,64,0.062
5,64,0.077
6,64,0.076
7,64,0.197
8,64,0.083
9,64,0.094
10,64,0.079
11,64,0.074
12,64,0.075
13,64,0.076
14,64,0.092
15,64,0.083
16,64,0.09
17,64,0.075
18,64,0.095
19,64,0.087
20,64,0.076
21,64,0.072
22,64,0.077
23,64,0.072
24,64,0.074
25,64,0.083
26,64,0.082
27,64,0.078
28,64,0.098
29,64,0.079
30,64,0.079
31,64,0.082
32,64,0.072
33,64,0.077
34,64,0.075
35,64,0.088
36,64,0.084
37,64,0.078
38,64,0.085
39,64,0.075
40,64,0.069
41,64,0.085
42,64,0.078
43,64,0.076
44,64,0.082
45,64,0.084
46,64,0.085
47,64,0.084
48,64,0.08
49,64,0.084
50,64,0.08
51,64,0.078
52,64,0.076
53,64,0.084
54,64,0.079
55,64,0.158
56,64,0.077
57,64,0.089
58,64,0.079
59,64,0.151
60,64,0.072
61,64,0.076
62,64,0.056
63,64,0.089
64,64,0.096
65,64,0.086
66,64,0.079
67,64,0.079
68,64,0.084
69,64,0.081
70,64,0.08
71,64,0.073
72,64,0.066
73,64,0.085
74,64,0.08
75,64,0.08
76,64,0.064
77,64,0.084
78,64,0.068
79,64,0.056
80,64,0.058
81,64,0.041
82,64,0.069
83,64,0.087
84,64,0.066
85,64,0.06
86,64,0.074
87,64,0.077
88,64,0.078
89,64,0.081
90,64,0.079
91,64,0.088
92,64,0.092
93,64,0.11
94,64,0.085
95,64,0.079
96,64,0.095
97,64,0.079
98,64,0.093
99,64,0.062
100,64,0.089
101,64,0.092
102,64,0.077
103,64,0.088
104,64,0.074
105,64,0.084
106,64,0.059
