point_count,time,bandwidth,bandwidth_average,bandwidth_variance,npackets,npackets_average,npackets_variance,nflows,nflows_average,nflows_variance
53,5.25,21360800.0,7251770.4,32137084811475.836,418,248.34,7823.6044,108,3351,646.4098999999999
54,5.3500000000000005,4889200.0,7251770.4,32137084811475.836,177,248.34,7823.6044,96,3351,646.4098999999999
55,5.45,2164560.0,7251770.4,32137084811475.836,168,248.34,7823.6044,84,3351,646.4098999999999
56,5.55,4630480.0,7251770.4,32137084811475.836,237,248.34,7823.6044,118,3351,646.4098999999999
57,5.65,11619840.0,7251770.4,32137084811475.836,310,248.34,7823.6044,127,3351,646.4098999999999
58,5.75,12031600.0,7251770.4,32137084811475.836,282,248.34,7823.6044,125,3351,646.4098999999999
59,5.8500000000000005,4283760.0,7251770.4,32137084811475.836,197,248.34,7823.6044,114,3351,646.4098999999999
60,5.95,26852960.0,7251770.4,32137084811475.836,485,248.34,7823.6044,144,3351,646.4098999999999
61,6.05,10214320.0,7251770.4,32137084811475.836,268,248.34,7823.6044,109,3351,646.4098999999999
62,6.15,34234960.0,7251770.4,32137084811475.836,482,248.34,7823.6044,94,3351,646.4098999999999
63,6.25,20883040.0,7251770.4,32137084811475.836,430,248.34,7823.6044,108,3351,646.4098999999999
64,6.3500000000000005,14364000.0,7251770.4,32137084811475.836,329,248.34,7823.6044,145,3351,646.4098999999999
65,6.45,11300160.0,7251770.4,32137084811475.836,274,248.34,7823.6044,111,3351,646.4098999999999
66,6.55,16149840.0,7251770.4,32137084811475.836,447,248.34,7823.6044,168,3351,646.4098999999999
67,6.65,12955600.0,7251770.4,32137084811475.836,372,248.34,7823.6044,165,3351,646.4098999999999
68,6.75,8791840.0,7251770.4,32137084811475.836,280,248.34,7823.6044,151,3351,646.4098999999999
69,6.8500000000000005,8933680.0,7251770.4,32137084811475.836,239,248.34,7823.6044,126,3351,646.4098999999999
70,6.95,15871200.0,7251770.4,32137084811475.836,342,248.34,7823.6044,133,3351,646.4098999999999
71,7.05,9348000.0,7251770.4,32137084811475.836,241,248.34,7823.6044,112,3351,646.4098999999999
