point_count,time,bandwidth,bandwidth_average,bandwidth_variance,npackets,npackets_average,npackets_variance,nflows,nflows_average,nflows_variance
1,0.05,8339280.0,7394937.590361446,22965508117184.555,41,4.307228915662651,26.676694730730148,4,1.5210843373493976,0.9363024386703441
2,0.15000000000000002,10538560.0,7394937.590361446,22965508117184.555,10,4.307228915662651,26.676694730730148,2,1.5210843373493976,0.9363024386703441
3,0.25,10517440.0,7394937.590361446,22965508117184.555,6,4.307228915662651,26.676694730730148,2,1.5210843373493976,0.9363024386703441
4,0.35000000000000003,10517440.0,7394937.590361446,22965508117184.555,6,4.307228915662651,26.676694730730148,2,1.5210843373493976,0.9363024386703441
5,0.45,10517440.0,7394937.590361446,22965508117184.555,6,4.307228915662651,26.676694730730148,2,1.5210843373493976,0.9363024386703441
6,0.55,0.0,7394937.590361446,22965508117184.555,0,4.307228915662651,26.676694730730148,0,1.5210843373493976,0.9363024386703441
7,0.6500000000000001,10517440.0,7394937.590361446,22965508117184.555,6,4.307228915662651,26.676694730730148,2,1.5210843373493976,0.9363024386703441
8,0.7500000000000001,10517440.0,7394937.590361446,22965508117184.555,6,4.307228915662651,26.676694730730148,2,1.5210843373493976,0.9363024386703441
9,0.8500000000000001,10517440.0,7394937.590361446,22965508117184.555,6,4.307228915662651,26.676694730730148,2,1.5210843373493976,0.9363024386703441
10,0.9500000000000001,10517440.0,7394937.590361446,22965508117184.555,6,4.307228915662651,26.676694730730148,2,1.5210843373493976,0.9363024386703441
11,1.05,10517440.0,7394937.590361446,22965508117184.555,6,4.307228915662651,26.676694730730148,2,1.5210843373493976,0.9363024386703441
12,1.1500000000000001,10512160.0,7394937.590361446,22965508117184.555,5,4.307228915662651,26.676694730730148,2,1.5210843373493976,0.9363024386703441
13,1.2500000000000002,5218080.0,7394937.590361446,22965508117184.555,1,4.307228915662651,26.676694730730148,1,1.5210843373493976,0.9363024386703441
14,1.35,5299360.0,7394937.590361446,22965508117184.555,5,4.307228915662651,26.676694730730148,2,1.5210843373493976,0.9363024386703441
15,1.4500000000000002,10512160.0,7394937.590361446,22965508117184.555,5,4.307228915662651,26.676694730730148,2,1.5210843373493976,0.9363024386703441
16,1.55,10512160.0,7394937.590361446,22965508117184.555,5,4.307228915662651,26.676694730730148,2,1.5210843373493976,0.9363024386703441
17,1.6500000000000001,10512160.0,7394937.590361446,22965508117184.555,5,4.307228915662651,26.676694730730148,2,1.5210843373493976,0.9363024386703441
18,1.7500000000000002,10512160.0,7394937.590361446,22965508117184.555,5,4.307228915662651,26.676694730730148,2,1.5210843373493976,0.9363024386703441
19,1.85,10512160.0,7394937.590361446,22965508117184.555,5,4.307228915662651,26.676694730730148,2,1.5210843373493976,0.9363024386703441
20,1.9500000000000002,10512160.0,7394937.590361446,22965508117184.555,5,4.307228915662651,26.676694730730148,2,1.5210843373493976,0.9363024386703441
21,2.05,0.0,7394937.590361446,22965508117184.555,0,4.307228915662651,26.676694730730148,0,1.5210843373493976,0.9363024386703441
22,2.15,10512160.0,7394937.590361446,22965508117184.555,5,4.307228915662651,26.676694730730148,2,1.5210843373493976,0.9363024386703441
23,2.25,10512160.0,7394937.590361446,22965508117184.555,5,4.307228915662651,26.676694730730148,2,1.5210843373493976,0.9363024386703441
24,2.35,10506880.0,7394937.590361446,22965508117184.555,4,4.307228915662651,26.676694730730148,2,1.5210843373493976,0.9363024386703441
25,2.45,10512160.0,7394937.590361446,22965508117184.555,5,4.307228915662651,26.676694730730148,2,1.5210843373493976,0.9363024386703441
26,2.55,10512160.0,7394937.590361446,22965508117184.555,5,4.307228915662651,26.676694730730148,2,1.5210843373493976,0.9363024386703441
27,2.65,10506880.0,7394937.590361446,22965508117184.555,4,4.307228915662651,26.676694730730148,2,1.5210843373493976,0.9363024386703441
28,2.75,0.0,7394937.590361446,22965508117184.555,0,4.307228915662651,26.676694730730148,0,1.5210843373493976,0.9363024386703441
29,2.85,10512160.0,7394937.590361446,22965508117184.555,5,4.307228915662651,26.676694730730148,2,1.5210843373493976,0.9363024386703441
30,2.95,10506880.0,7394937.590361446,22965508117184.555,4,4.307228915662651,26.676694730730148,2,1.5210843373493976,0.9363024386703441
31,3.05,10512160.0,7394937.590361446,22965508117184.555,5,4.307228915662651,26.676694730730148,2,1.5210843373493976,0.9363024386703441
32,3.15,10512160.0,7394937.590361446,22965508117184.555,5,4.307228915662651,26.676694730730148,2,1.5210843373493976,0.9363024386703441
33,3.25,10512160.0,7394937.590361446,22965508117184.555,5,4.307228915662651,26.676694730730148,2,1.5210843373493976,0.9363024386703441
34,3.35,10512160.0,7394937.590361446,22965508117184.555,5,4.307228915662651,26.676694730730148,2,1.5210843373493976,0.9363024386703441
35,3.45,0.0,7394937.590361446,22965508117184.555,0,4.307228915662651,26.676694730730148,0,1.5210843373493976,0.9363024386703441
36,3.55,10512160.0,7394937.590361446,22965508117184.555,5,4.307228915662651,26.676694730730148,2,1.5210843373493976,0.9363024386703441
37,3.65,10506880.0,7394937.590361446,22965508117184.555,4,4.307228915662651,26.676694730730148,2,1.5210843373493976,0.9363024386703441
38,3.75,10512160.0,7394937.590361446,22965508117184.555,5,4.307228915662651,26.676694730730148,2,1.5210843373493976,0.9363024386703441
39,3.85,10517440.0,7394937.590361446,22965508117184.555,6,4.307228915662651,26.676694730730148,2,1.5210843373493976,0.9363024386703441
40,3.95,10512160.0,7394937.590361446,22965508117184.555,5,4.307228915662651,26.676694730730148,2,1.5210843373493976,0.9363024386703441
41,4.05,10517440.0,7394937.590361446,22965508117184.555,6,4.307228915662651,26.676694730730148,2,1.5210843373493976,0.9363024386703441
42,4.15,0.0,7394937.590361446,22965508117184.555,0,4.307228915662651,26.676694730730148,0,1.5210843373493976,0.9363024386703441
43,4.25,10512160.0,7394937.590361446,22965508117184.555,5,4.307228915662651,26.676694730730148,2,1.5210843373493976,0.9363024386703441
44,4.35,10506880.0,7394937.590361446,22965508117184.555,4,4.307228915662651,26.676694730730148,2,1.5210843373493976,0.9363024386703441
45,4.45,10506880.0,7394937.590361446,22965508117184.555,4,4.307228915662651,26.676694730730148,2,1.5210843373493976,0.9363024386703441
46,4.55,10517760.0,7394937.590361446,22965508117184.555,6,4.307228915662651,26.676694730730148,3,1.5210843373493976,0.9363024386703441
47,4.65,10506880.0,7394937.590361446,22965508117184.555,4,4.307228915662651,26.676694730730148,2,1.5210843373493976,0.9363024386703441
48,4.75,10506880.0,7394937.590361446,22965508117184.555,4,4.307228915662651,26.676694730730148,2,1.5210843373493976,0.9363024386703441
49,4.8500000000000005,0.0,7394937.590361446,22965508117184.555,0,4.307228915662651,26.676694730730148,0,1.5210843373493976,0.9363024386703441
50,4.95,10512160.0,7394937.590361446,22965508117184.555,5,4.307228915662651,26.676694730730148,2,1.5210843373493976,0.9363024386703441
51,5.05,10512160.0,7394937.590361446,22965508117184.555,5,4.307228915662651,26.676694730730148,2,1.5210843373493976,0.9363024386703441
52,5.15,10512160.0,7394937.590361446,22965508117184.555,5,4.307228915662651,26.676694730730148,2,1.5210843373493976,0.9363024386703441
53,5.25,10512160.0,7394937.590361446,22965508117184.555,5,4.307228915662651,26.676694730730148,2,1.5210843373493976,0.9363024386703441
54,5.3500000000000005,10512160.0,7394937.590361446,22965508117184.555,5,4.307228915662651,26.676694730730148,2,1.5210843373493976,0.9363024386703441
55,5.45,10517440.0,7394937.590361446,22965508117184.555,6,4.307228915662651,26.676694730730148,2,1.5210843373493976,0.9363024386703441
56,5.55,5600.0,7394937.590361446,22965508117184.555,1,4.307228915662651,26.676694730730148,1,1.5210843373493976,0.9363024386703441
57,5.65,10517440.0,7394937.590361446,22965508117184.555,6,4.307228915662651,26.676694730730148,2,1.5210843373493976,0.9363024386703441
58,5.75,10517440.0,7394937.590361446,22965508117184.555,6,4.307228915662651,26.676694730730148,2,1.5210843373493976,0.9363024386703441
59,5.8500000000000005,10517440.0,7394937.590361446,22965508117184.555,6,4.307228915662651,26.676694730730148,2,1.5210843373493976,0.9363024386703441
60,5.95,10512160.0,7394937.590361446,22965508117184.555,5,4.307228915662651,26.676694730730148,2,1.5210843373493976,0.9363024386703441
61,6.05,10512160.0,7394937.590361446,22965508117184.555,5,4.307228915662651,26.676694730730148,2,1.5210843373493976,0.9363024386703441
62,6.15,10512160.0,7394937.590361446,22965508117184.555,5,4.307228915662651,26.676694730730148,2,1.5210843373493976,0.9363024386703441
63,6.25,0.0,7394937.590361446,22965508117184.555,0,4.307228915662651,26.676694730730148,0,1.5210843373493976,0.9363024386703441
64,6.3500000000000005,10517440.0,7394937.590361446,22965508117184.555,6,4.307228915662651,26.676694730730148,2,1.5210843373493976,0.9363024386703441
65,6.45,10512160.0,7394937.590361446,22965508117184.555,5,4.307228915662651,26.676694730730148,2,1.5210843373493976,0.9363024386703441
66,6.55,10506880.0,7394937.590361446,22965508117184.555,4,4.307228915662651,26.676694730730148,2,1.5210843373493976,0.9363024386703441
67,6.65,10506880.0,7394937.590361446,22965508117184.555,4,4.307228915662651,26.676694730730148,2,1.5210843373493976,0.9363024386703441
68,6.75,10506880.0,7394937.590361446,22965508117184.555,4,4.307228915662651,26.676694730730148,2,1.5210843373493976,0.9363024386703441
69,6.8500000000000005,10506880.0,7394937.590361446,22965508117184.555,4,4.307228915662651,26.676694730730148,2,1.5210843373493976,0.9363024386703441
70,6.95,0.0,7394937.590361446,22965508117184.555,0,4.307228915662651,26.676694730730148,0,1.5210843373493976,0.9363024386703441
71,7.05,10512160.0,7394937.590361446,22965508117184.555,5,4.307228915662651,26.676694730730148,2,1.5210843373493976,0.9363024386703441
72,7.15,10512160.0,7394937.590361446,22965508117184.555,5,4.307228915662651,26.676694730730148,2,1.5210843373493976,0.9363024386703441
73,7.25,10512160.0,7394937.590361446,22965508117184.555,5,4.307228915662651,26.676694730730148,2,1.5210843373493976,0.9363024386703441
74,7.3500000000000005,10512160.0,7394937.590361446,22965508117184.555,5,4.307228915662651,26.676694730730148,2,1.5210843373493976,0.9363024386703441
75,7.45,10517440.0,7394937.590361446,22965508117184.555,6,4.307228915662651,26.676694730730148,2,1.5210843373493976,0.9363024386703441
76,7.55,10506880.0,7394937.590361446,22965508117184.555,4,4.307228915662651,26.676694730730148,2,1.5210843373493976,0.9363024386703441
77,7.65,5600.0,7394937.590361446,22965508117184.555,1,4.307228915662651,26.676694730730148,1,1.5210843373493976,0.9363024386703441
78,7.75,10512160.0,7394937.590361446,22965508117184.555,5,4.307228915662651,26.676694730730148,2,1.5210843373493976,0.9363024386703441
79,7.8500000000000005,10523040.0,7394937.590361446,22965508117184.555,7,4.307228915662651,26.676694730730148,3,1.5210843373493976,0.9363024386703441
80,7.95,10506880.0,7394937.590361446,22965508117184.555,4,4.307228915662651,26.676694730730148,2,1.5210843373493976,0.9363024386703441
81,8.05,10512160.0,7394937.590361446,22965508117184.555,5,4.307228915662651,26.676694730730148,2,1.5210843373493976,0.9363024386703441
82,8.15,10506880.0,7394937.590361446,22965508117184.555,4,4.307228915662651,26.676694730730148,2,1.5210843373493976,0.9363024386703441
83,8.250000000000002,10506880.0,7394937.590361446,22965508117184.555,4,4.307228915662651,26.676694730730148,2,1.5210843373493976,0.9363024386703441
84,8.350000000000001,0.0,7394937.590361446,22965508117184.555,0,4.307228915662651,26.676694730730148,0,1.5210843373493976,0.9363024386703441
85,8.450000000000001,10512160.0,7394937.590361446,22965508117184.555,5,4.307228915662651,26.676694730730148,2,1.5210843373493976,0.9363024386703441
86,8.55,10512160.0,7394937.590361446,22965508117184.555,5,4.307228915662651,26.676694730730148,2,1.5210843373493976,0.9363024386703441
87,8.65,10506880.0,7394937.590361446,22965508117184.555,4,4.307228915662651,26.676694730730148,2,1.5210843373493976,0.9363024386703441
88,8.750000000000002,10506880.0,7394937.590361446,22965508117184.555,4,4.307228915662651,26.676694730730148,2,1.5210843373493976,0.9363024386703441
89,8.850000000000001,10506880.0,7394937.590361446,22965508117184.555,4,4.307228915662651,26.676694730730148,2,1.5210843373493976,0.9363024386703441
90,8.950000000000001,10506880.0,7394937.590361446,22965508117184.555,4,4.307228915662651,26.676694730730148,2,1.5210843373493976,0.9363024386703441
91,9.05,76480.0,7394937.590361446,22965508117184.555,10,4.307228915662651,26.676694730730148,4,1.5210843373493976,0.9363024386703441
92,9.15,69440.0,7394937.590361446,22965508117184.555,9,4.307228915662651,26.676694730730148,4,1.5210843373493976,0.9363024386703441
93,9.250000000000002,0.0,7394937.590361446,22965508117184.555,0,4.307228915662651,26.676694730730148,0,1.5210843373493976,0.9363024386703441
94,9.350000000000001,0.0,7394937.590361446,22965508117184.555,0,4.307228915662651,26.676694730730148,0,1.5210843373493976,0.9363024386703441
95,9.450000000000001,0.0,7394937.590361446,22965508117184.555,0,4.307228915662651,26.676694730730148,0,1.5210843373493976,0.9363024386703441
96,9.55,0.0,7394937.590361446,22965508117184.555,0,4.307228915662651,26.676694730730148,0,1.5210843373493976,0.9363024386703441
97,9.650000000000002,5600.0,7394937.590361446,22965508117184.555,1,4.307228915662651,26.676694730730148,1,1.5210843373493976,0.9363024386703441
98,9.750000000000002,0.0,7394937.590361446,22965508117184.555,0,4.307228915662651,26.676694730730148,0,1.5210843373493976,0.9363024386703441
99,9.850000000000001,0.0,7394937.590361446,22965508117184.555,0,4.307228915662651,26.676694730730148,0,1.5210843373493976,0.9363024386703441
100,9.950000000000001,0.0,7394937.590361446,22965508117184.555,0,4.307228915662651,26.676694730730148,0,1.5210843373493976,0.9363024386703441
101,10.05,0.0,7394937.590361446,22965508117184.555,0,4.307228915662651,26.676694730730148,0,1.5210843373493976,0.9363024386703441
102,10.150000000000002,0.0,7394937.590361446,22965508117184.555,0,4.307228915662651,26.676694730730148,0,1.5210843373493976,0.9363024386703441
103,10.250000000000002,0.0,7394937.590361446,22965508117184.555,0,4.307228915662651,26.676694730730148,0,1.5210843373493976,0.9363024386703441
104,10.350000000000001,0.0,7394937.590361446,22965508117184.555,0,4.307228915662651,26.676694730730148,0,1.5210843373493976,0.9363024386703441
105,10.450000000000001,16240.0,7394937.590361446,22965508117184.555,1,4.307228915662651,26.676694730730148,1,1.5210843373493976,0.9363024386703441
106,10.55,0.0,7394937.590361446,22965508117184.555,0,4.307228915662651,26.676694730730148,0,1.5210843373493976,0.9363024386703441
107,10.650000000000002,0.0,7394937.590361446,22965508117184.555,0,4.307228915662651,26.676694730730148,0,1.5210843373493976,0.9363024386703441
108,10.750000000000002,0.0,7394937.590361446,22965508117184.555,0,4.307228915662651,26.676694730730148,0,1.5210843373493976,0.9363024386703441
109,10.850000000000001,16240.0,7394937.590361446,22965508117184.555,1,4.307228915662651,26.676694730730148,1,1.5210843373493976,0.9363024386703441
110,10.950000000000001,52160.0,7394937.590361446,22965508117184.555,9,4.307228915662651,26.676694730730148,2,1.5210843373493976,0.9363024386703441
111,11.05,9281200.0,7394937.590361446,22965508117184.555,64,4.307228915662651,26.676694730730148,4,1.5210843373493976,0.9363024386703441
112,11.150000000000002,10559680.0,7394937.590361446,22965508117184.555,14,4.307228915662651,26.676694730730148,2,1.5210843373493976,0.9363024386703441
113,11.250000000000002,10517440.0,7394937.590361446,22965508117184.555,6,4.307228915662651,26.676694730730148,2,1.5210843373493976,0.9363024386703441
114,11.350000000000001,10517440.0,7394937.590361446,22965508117184.555,6,4.307228915662651,26.676694730730148,2,1.5210843373493976,0.9363024386703441
115,11.450000000000001,0.0,7394937.590361446,22965508117184.555,0,4.307228915662651,26.676694730730148,0,1.5210843373493976,0.9363024386703441
116,11.55,10517440.0,7394937.590361446,22965508117184.555,6,4.307228915662651,26.676694730730148,2,1.5210843373493976,0.9363024386703441
117,11.650000000000002,10517440.0,7394937.590361446,22965508117184.555,6,4.307228915662651,26.676694730730148,2,1.5210843373493976,0.9363024386703441
118,11.750000000000002,10523040.0,7394937.590361446,22965508117184.555,7,4.307228915662651,26.676694730730148,3,1.5210843373493976,0.9363024386703441
119,11.850000000000001,10517440.0,7394937.590361446,22965508117184.555,6,4.307228915662651,26.676694730730148,2,1.5210843373493976,0.9363024386703441
120,11.950000000000001,10517440.0,7394937.590361446,22965508117184.555,6,4.307228915662651,26.676694730730148,2,1.5210843373493976,0.9363024386703441
121,12.05,10517440.0,7394937.590361446,22965508117184.555,6,4.307228915662651,26.676694730730148,2,1.5210843373493976,0.9363024386703441
122,12.150000000000002,0.0,7394937.590361446,22965508117184.555,0,4.307228915662651,26.676694730730148,0,1.5210843373493976,0.9363024386703441
123,12.250000000000002,10517440.0,7394937.590361446,22965508117184.555,6,4.307228915662651,26.676694730730148,2,1.5210843373493976,0.9363024386703441
124,12.350000000000001,10517440.0,7394937.590361446,22965508117184.555,6,4.307228915662651,26.676694730730148,2,1.5210843373493976,0.9363024386703441
125,12.450000000000001,10517440.0,7394937.590361446,22965508117184.555,6,4.307228915662651,26.676694730730148,2,1.5210843373493976,0.9363024386703441
126,12.55,10512160.0,7394937.590361446,22965508117184.555,5,4.307228915662651,26.676694730730148,2,1.5210843373493976,0.9363024386703441
