time,inter_arrival,pkt_size,ttl
0.0,0.0,1168,64
5e-05,5e-05,1168,64
5e-05,0.0,94,64
0.000322,0.000272,60,242
0.00116,0.000838,167,128
0.001306,0.00014600000000000008,67,51
0.001307,9.999999999999159e-07,60,242
0.005263,0.003956,60,241
0.005988,0.000725,167,128
0.006739,0.0007509999999999999,66,128
0.008991,0.0022520000000000005,265,128
0.009041,4.99999999999997e-05,167,52
0.009043,2.0000000000002655e-06,265,127
0.009839,0.0007959999999999998,78,53
0.009938,9.900000000000013e-05,78,53
0.010139,0.0002009999999999998,78,52
0.010924,0.0007849999999999992,60,128
0.010925,1.000000000001e-06,60,127
0.01111,0.0001849999999999994,60,243
0.011356,0.0002459999999999997,60,128
0.013185,0.0018290000000000008,60,128
0.013186,9.999999999992654e-07,60,128
0.013188,2.0000000000002655e-06,60,127
0.013189,9.999999999992654e-07,60,127
0.013448,0.00025900000000000055,60,128
0.01345,2.0000000000002655e-06,60,128
0.013451,9.999999999992654e-07,60,128
0.013452,1.000000000001e-06,60,127
0.013994,0.0005419999999999991,66,128
0.014056,6.200000000000129e-05,66,127
0.014123,6.699999999999935e-05,101,243
0.014634,0.0005109999999999993,167,52
0.014746,0.00011200000000000099,60,64
0.01486,0.00011399999999999952,60,128
0.014861,9.999999999992654e-07,60,128
0.014935,7.400000000000115e-05,60,128
0.014937,2.0000000000002655e-06,60,127
0.015202,0.0002649999999999996,78,255
0.015534,0.00033199999999999896,167,128
0.016841,0.0013069999999999991,60,128
0.017845,0.0010040000000000014,60,128
0.017847,1.9999999999985307e-06,60,128
0.018029,0.0001820000000000016,1414,242
0.018084,5.4999999999999494e-05,66,64
0.018289,0.00020500000000000032,167,51
0.018812,0.0005229999999999992,167,52
0.019282,0.00047000000000000167,1414,242
0.019333,5.099999999999896e-05,66,64
0.019494,0.00016100000000000142,1414,242
0.019495,9.999999999975306e-07,288,242
0.019698,0.0002030000000000018,1414,242
0.019699,1.000000000001e-06,167,52
0.019836,0.00013699999999999823,1414,242
0.01996,0.0001239999999999991,1414,242
0.01996,0.0,96,242
0.019962,2.000000000002e-06,85,242
0.020024,6.199999999999956e-05,91,52
0.02077,0.0007460000000000001,67,51
0.020772,1.9999999999985307e-06,60,128
0.021003,0.00023100000000000204,91,52
0.02174,0.0007369999999999981,167,52
0.022078,0.0003380000000000015,1168,64
0.022953,0.0008750000000000008,1168,64
0.022954,9.999999999975306e-07,1168,64
0.022955,1.000000000001e-06,145,64
0.024821,0.0018659999999999996,167,128
0.025257,0.00043600000000000236,265,128
0.025258,9.999999999975306e-07,167,128
0.02533,7.199999999999915e-05,265,127
0.025659,0.0003290000000000029,167,128
0.025978,0.00031899999999999984,91,128
0.026039,6.0999999999998555e-05,91,128
0.026095,5.6000000000000494e-05,91,128
0.027057,0.000962000000000001,78,63
0.027896,0.0008389999999999995,579,64
0.029337,0.0014409999999999978,60,128
0.02934,3.0000000000030003e-06,60,127
0.029434,9.399999999999686e-05,60,128
0.029435,1.000000000001e-06,60,127
0.029672,0.0002370000000000011,167,52
0.031862,0.002190000000000001,167,128
0.032049,0.00018699999999999967,60,128
0.03205,1.000000000001e-06,60,128
0.033237,0.0011870000000000006,167,128
0.035184,0.0019469999999999973,78,255
0.035792,0.0006079999999999974,60,128
0.035794,2.000000000002e-06,60,127
0.03679,0.0009960000000000038,98,128
0.036791,9.999999999940612e-07,60,128
0.036843,5.200000000000343e-05,98,127
0.036845,2.000000000002e-06,60,127
0.039811,0.0029659999999999964,167,128
0.040787,0.0009759999999999977,67,51
0.04093,0.00014300000000000423,1266,64
0.04143,0.0005000000000000004,1266,64
0.04143,0.0,637,64
0.043116,0.001686,67,64
0.046155,0.003039,167,128
0.053409,0.0072539999999999966,66,128
0.054034,0.0006250000000000006,67,64
0.055225,0.0011910000000000046,78,255
0.05554,0.00031499999999999584,167,48
0.056943,0.0014030000000000015,167,46
0.057172,0.00022900000000000004,167,128
0.059112,0.0019399999999999973,155,128
0.060372,0.0012600000000000042,60,128
0.060374,1.9999999999950613e-06,60,128
0.060375,1.000000000001e-06,60,128
0.060474,9.900000000000186e-05,167,52
0.061092,0.0006180000000000005,279,51
0.06141,0.00031799999999999884,60,128
0.061928,0.0005179999999999976,167,64
0.06227,0.000342000000000002,78,64
0.062582,0.0003119999999999998,66,128
0.062644,6.20000000000065e-05,66,127
0.062882,0.00023799999999998822,167,51
0.063001,0.00011900000000000799,60,128
0.063003,2.000000000002e-06,60,127
0.063778,0.0007749999999999979,66,128
0.065661,0.0018829999999999958,66,128
0.066584,0.0009230000000000071,78,49
0.066642,5.8000000000002494e-05,78,49
0.06686,0.00021799999999999597,73,128
0.071942,0.005082000000000003,60,128
0.073022,0.0010799999999999976,265,128
0.073093,7.100000000000162e-05,265,127
0.073584,0.0004909999999999914,334,128
0.075183,0.0015990000000000032,78,255
0.076075,0.0008920000000000039,1168,64
0.076531,0.0004559999999999981,1168,64
0.07658,4.899999999999349e-05,1168,64
0.076581,1.000000000001e-06,189,64
0.077081,0.0005000000000000004,167,128
0.077182,0.00010100000000000386,60,128
0.077243,6.1000000000005494e-05,60,127
0.077244,9.999999999871223e-07,60,128
0.077294,5.000000000000837e-05,60,127
0.077296,2.000000000002e-06,60,128
0.077364,6.799999999999862e-05,60,127
0.077899,0.0005349999999999938,60,128
0.078836,0.0009370000000000073,167,52
0.080366,0.0015300000000000036,60,128
0.080843,0.0004769999999999913,335,51
0.080844,1.000000000001e-06,167,46
0.081997,0.0011530000000000012,60,128
0.085388,0.003391000000000005,91,50
0.085994,0.0006059999999999954,91,52
0.086886,0.0008920000000000039,60,128
0.086888,2.000000000002e-06,60,128
0.087869,0.0009809999999999958,60,128
0.087871,2.000000000002e-06,60,128
0.090802,0.002930999999999989,167,128
0.091255,0.00045300000000000895,167,48
0.091257,2.000000000002e-06,66,51
0.091555,0.0002979999999999927,676,51
0.091556,1.000000000001e-06,66,51
0.091645,8.900000000000574e-05,66,64
0.091701,5.6000000000000494e-05,60,237
0.091903,0.00020199999999999385,60,128
0.091904,1.000000000001e-06,78,63
0.092003,9.900000000000186e-05,91,50
0.09209,8.700000000000374e-05,60,128
0.092142,5.1999999999996493e-05,91,51
0.092144,2.000000000002e-06,167,128
0.092239,9.499999999999786e-05,91,51
0.092546,0.0003070000000000017,483,242
0.092605,5.9000000000003494e-05,66,64
0.0928,0.00019499999999998685,60,243
0.092973,0.00017300000000000648,78,63
0.093028,5.4999999999999494e-05,66,64
0.093029,1.000000000001e-06,139,243
0.093137,0.00010799999999999699,357,64
0.093654,0.0005170000000000036,78,63
0.095018,0.001364000000000004,1139,64
0.095164,0.00014599999999999336,267,128
0.095215,5.099999999999549e-05,78,255
0.095651,0.00043600000000000583,167,128
0.095941,0.0002899999999999986,66,128
0.096013,7.200000000000262e-05,66,127
0.09688,0.0008669999999999928,60,128
0.096882,2.000000000002e-06,60,127
0.097133,0.0002510000000000012,67,64
0.097256,0.0001229999999999981,265,128
0.097328,7.200000000000262e-05,265,127
0.097924,0.0005959999999999993,167,51
0.09857,0.0006460000000000077,74,64
0.100754,0.0021839999999999915,67,51
0.101139,0.00038500000000001033,167,128
0.101382,0.00024299999999999322,60,128
0.101383,1.000000000001e-06,60,127
0.101479,9.599999999999886e-05,60,128
0.101481,2.000000000002e-06,60,127
0.101582,0.00010100000000000386,60,128
0.105715,0.004132999999999998,85,128
0.105857,0.00014200000000000323,167,52
0.105975,0.00011799999999999311,167,128
0.107078,0.0011030000000000068,92,128
