timestamp,sent_time_seconds,jitter_ms
2025-04-10 23:30:05,0,
2025-04-10 23:30:05,0.100067,
2025-04-10 23:30:05,0.200072,
2025-04-10 23:30:05,0.300083,
2025-04-10 23:30:05,0.400116,
2025-04-10 23:30:05,0.50009,
2025-04-10 23:30:05,0.600068,
2025-04-10 23:30:05,0.700067,
2025-04-10 23:30:05,0.800066,
2025-04-10 23:30:05,0.900066,
2025-04-10 23:30:05,1.000087,
2025-04-10 23:30:05,1.10008,
2025-04-10 23:30:05,1.200081,
2025-04-10 23:30:05,1.300074,
2025-04-10 23:30:05,1.400073,
2025-04-10 23:30:05,1.500084,
2025-04-10 23:30:05,1.600083,
2025-04-10 23:30:05,1.700083,
2025-04-10 23:30:05,1.800068,
2025-04-10 23:30:05,1.90007,
2025-04-10 23:30:05,2.000073,
2025-04-10 23:30:05,2.100068,
2025-04-10 23:30:05,2.200067,
2025-04-10 23:30:05,2.300068,
2025-04-10 23:30:05,2.400066,
2025-04-10 23:30:05,2.500072,
2025-04-10 23:30:05,2.600085,
2025-04-10 23:30:05,2.700073,
2025-04-10 23:30:05,2.800079,
2025-04-10 23:30:05,2.900074,
2025-04-10 23:30:05,3.000073,
2025-04-10 23:30:05,3.100073,
2025-04-10 23:30:05,3.200066,
2025-04-10 23:30:05,3.300073,
2025-04-10 23:30:05,3.400065,
2025-04-10 23:30:05,3.500075,
2025-04-10 23:30:05,3.600067,
2025-04-10 23:30:05,3.700072,
2025-04-10 23:30:05,3.800076,
2025-04-10 23:30:05,3.900073,
2025-04-10 23:30:05,4.000065,
2025-04-10 23:30:05,4.100076,
2025-04-10 23:30:05,4.200066,
2025-04-10 23:30:05,4.300066,
2025-04-10 23:30:05,4.400074,
2025-04-10 23:30:05,4.500075,
2025-04-10 23:30:05,4.600074,
2025-04-10 23:30:05,4.700068,
2025-04-10 23:30:05,4.800089,
2025-04-10 23:30:05,4.900073,
2025-04-10 23:30:05,5.000066,
2025-04-10 23:30:05,5.100073,
2025-04-10 23:30:05,5.200073,
2025-04-10 23:30:05,5.300075,
2025-04-10 23:30:05,5.400074,
2025-04-10 23:30:05,5.500075,
2025-04-10 23:30:05,5.600066,
2025-04-10 23:30:05,5.700066,
2025-04-10 23:30:05,5.800067,
2025-04-10 23:30:05,5.900073,
2025-04-10 23:30:05,6.000074,
2025-04-10 23:30:05,6.100077,
2025-04-10 23:30:05,6.200066,
2025-04-10 23:30:05,6.300066,
2025-04-10 23:30:05,6.400068,
2025-04-10 23:30:05,6.500069,
2025-04-10 23:30:05,6.600075,
2025-04-10 23:30:05,6.700073,
2025-04-10 23:30:05,6.800072,
2025-04-10 23:30:05,6.900088,
2025-04-10 23:30:05,7.000074,
2025-04-10 23:30:05,7.100071,
2025-04-10 23:30:05,7.200072,
2025-04-10 23:30:05,7.300072,
2025-04-10 23:30:05,7.400072,
2025-04-10 23:30:05,7.500074,
2025-04-10 23:30:05,7.600071,
2025-04-10 23:30:05,7.700072,
2025-04-10 23:30:05,7.800074,
2025-04-10 23:30:05,7.900072,
2025-04-10 23:30:05,8.000073,
2025-04-10 23:30:05,8.100072,
2025-04-10 23:30:05,8.200072,
2025-04-10 23:30:05,8.300072,
2025-04-10 23:30:05,8.400072,
2025-04-10 23:30:05,8.500072,
2025-04-10 23:30:05,8.600075,
2025-04-10 23:30:05,8.700072,
2025-04-10 23:30:05,8.800072,
2025-04-10 23:30:05,8.900073,
2025-04-10 23:30:05,9.000072,
2025-04-10 23:30:05,9.100066,
2025-04-10 23:30:05,9.200074,
2025-04-10 23:30:05,9.300066,
2025-04-10 23:30:05,9.400074,
2025-04-10 23:30:05,9.500066,
2025-04-10 23:30:05,9.600066,
2025-04-10 23:30:05,9.700066,
2025-04-10 23:30:05,9.800073,
2025-04-10 23:30:05,9.90007,
